,ds,y
385,2017:12:28 09:02:39,-0.2
386,2017:12:28 09:06:45,-0.1
387,2017:12:28 09:10:53,-0.0
388,2017:12:28 09:12:57,0.0
389,2017:12:28 09:15:02,0.1
390,2017:12:28 09:17:05,0.2
391,2017:12:28 09:21:12,0.3
392,2017:12:28 09:25:20,0.4
393,2017:12:28 09:29:27,0.5
394,2017:12:28 09:33:35,-0.1
395,2017:12:28 09:39:47,-0.0
396,2017:12:28 09:41:51,0.0
397,2017:12:28 09:43:54,0.1
398,2017:12:28 09:45:58,0.2
399,2017:12:28 09:50:06,0.3
400,2017:12:28 09:56:17,0.4
401,2017:12:28 10:00:25,0.5
402,2017:12:28 10:04:32,0.6
403,2017:12:28 10:06:36,0.7
404,2017:12:28 10:10:44,0.8
405,2017:12:28 10:12:48,0.9
406,2017:12:28 10:16:55,1.0
407,2017:12:28 10:18:59,1.1
408,2017:12:28 10:23:07,1.2
409,2017:12:28 10:27:15,1.3
410,2017:12:28 10:29:19,1.4
411,2017:12:28 10:33:26,1.5
412,2017:12:28 10:37:34,1.6
413,2017:12:28 10:41:42,1.7
414,2017:12:28 10:43:46,1.8
415,2017:12:28 10:47:53,1.9
416,2017:12:28 10:54:05,2.0
417,2017:12:28 10:56:09,2.0
418,2017:12:28 10:58:12,2.1
419,2017:12:28 11:02:20,2.2
420,2017:12:28 11:04:24,2.3
421,2017:12:28 11:08:31,2.4
422,2017:12:28 11:10:35,2.5
423,2017:12:28 11:14:42,2.6
424,2017:12:28 11:18:49,2.7
425,2017:12:28 11:20:52,2.8
426,2017:12:28 11:24:57,2.9
427,2017:12:28 11:27:00,3.0
428,2017:12:28 11:31:07,3.1
429,2017:12:28 11:35:14,3.2
430,2017:12:28 11:39:20,3.3
431,2017:12:28 11:43:28,3.4
432,2017:12:28 11:47:35,3.5
433,2017:12:28 11:51:42,3.6
434,2017:12:28 11:55:49,3.7
435,2017:12:28 11:59:56,3.8
436,2017:12:28 12:04:03,3.9
437,2017:12:28 12:10:15,4.0
438,2017:12:28 12:16:27,4.0
